age_group,n,prefrail,frail,fi,source,lb,meas,sex,n_frail,n_prefrail,n_robust,robust,country
"[40,45)",14626,0.05442362915356214,0.008272938602488721,efi,All of Us,1-year lookback,no,All,121.00000000000004,795.9999999999999,13709,0.9373034322439492,US
"[40,45)",14626,0.11418022699302646,0.046219061944482415,vafi,All of Us,1-year lookback,no,All,675.9999999999998,1670.000000000005,12279.999999999995,0.8396007110624911,US
"[45,50)",15913,0.080814428454722545,0.014767799912021599,efi,All of Us,1-year lookback,no,All,234.9999999999997,1285.9999999999998,14392,0.9044177716332559,US
"[45,50)",15913,0.13580091748884562,0.07302205743731538,vafi,All of Us,1-year lookback,no,All,1161.9999999999995,2161.0000000000005,12590,0.791177025073839,US
"[50,55)",19613,0.09763932085861418,0.02121042165910364,efi,All of Us,1-year lookback,no,All,415.9999999999997,1915,17282,0.8811502574822822,US
"[50,55)",19613,0.15510120838219582,0.08815581502064959,vafi,All of Us,1-year lookback,no,All,1729.0000000000005,3042.000000000007,14841.999999999993,0.7567429765971546,US
"[55,60)",23709,0.11674891391454725,0.02577080433590623,efi,All of Us,1-year lookback,no,All,611.0000000000008,2768.000000000001,20330,0.8574802817495466,US
"[55,60)",23709,0.16850141296554033,0.1017335189168668,vafi,All of Us,1-year lookback,no,All,2411.999999999995,3994.9999999999955,17302.00000000001,0.7297650681175929,US
"[60,65)",23922,0.1389515926761977,0.03273137697516931,efi,All of Us,1-year lookback,no,All,783.0000000000002,3324.000000000001,19815,0.828317030348633,US
"[60,65)",23922,0.18995067302065038,0.11859376306328925,vafi,All of Us,1-year lookback,no,All,2837.0000000000055,4543.999999999998,16540.999999999996,0.6914555639160603,US
"[65,70)",22783,0.1657376113769037,0.03739630426194969,efi,All of Us,1-year lookback,no,All,851.9999999999998,3775.9999999999973,18155.000000000004,0.7968660843611466,US
"[65,70)",22783,0.21125400517930026,0.13448623974015725,vafi,All of Us,1-year lookback,no,All,3064.0000000000027,4812.999999999998,14906,0.6542597550805425,US
"[70,75)",19039,0.19806712537423213,0.04742896160512633,efi,All of Us,1-year lookback,no,All,903.0000000000002,3771.0000000000055,14364.999999999995,0.7545039130206416,US
"[70,75)",19039,0.23940333000682795,0.15515520773149843,vafi,All of Us,1-year lookback,no,All,2953.9999999999986,4557.999999999997,11527.000000000005,0.6054414622616737,US
"[75,80)",11535,0.22514087559601237,0.056610316428261843,efi,All of Us,1-year lookback,no,All,653.0000000000003,2597.0000000000027,8284.999999999998,0.7182488079757259,US
"[75,80)",11535,0.2548764629388815,0.1825747724317294,vafi,All of Us,1-year lookback,no,All,2105.9999999999986,2939.999999999998,6489.000000000004,0.5625487646293892,US
"[80,120]",8581,0.26407178650506935,0.08845122946043586,efi,All of Us,1-year lookback,no,All,759.0000000000001,2266,5556,0.6474769840344948,US
"[80,120]",8581,0.2632560307656448,0.24402750262207207,vafi,All of Us,1-year lookback,no,All,2094.0000000000005,2258.999999999998,4228.000000000002,0.4927164666122832,US
"[40,45)",9944,0.0584271922767498,0.00784392598551891,efi,All of Us,1-year lookback,no,Female,78.00000000000003,581,9285,0.9337288817377313,US
"[40,45)",9944,0.123089300080451,0.0476669348350764,vafi,All of Us,1-year lookback,no,Female,473.9999999999997,1224.0000000000048,8245.999999999995,0.8292437650844725,US
"[45,50)",10419,0.0812937901909972,0.0134369901142144,efi,All of Us,1-year lookback,no,Female,139.99999999999983,846.9999999999998,9432,0.9052692196947884,US
"[45,50)",10419,0.140320568192725,0.0759189941453114,vafi,All of Us,1-year lookback,no,Female,790.9999999999995,1462.0000000000018,8165.999999999998,0.7837604376619636,US
"[50,55)",12562,0.100541315077217,0.0194236586530807,efi,All of Us,1-year lookback,no,Female,243.99999999999977,1263,11055,0.8800350262697023,US
"[50,55)",12562,0.164066231491801,0.0911479063843337,vafi,All of Us,1-year lookback,no,Female,1145,2061.000000000004,9355.999999999996,0.7447858621238653,US
"[55,60)",14769,0.119710203805268,0.0249847653869592,efi,All of Us,1-year lookback,no,Female,369.0000000000004,1768.0000000000032,12631.999999999996,0.8553050308077728,US
"[55,60)",14769,0.175164195273884,0.104746428329609,vafi,All of Us,1-year lookback,no,Female,1546.9999999999952,2586.9999999999927,10635.000000000013,0.720089376396507,US
"[60,65)",14518,0.140790742526519,0.0301005648160904,efi,All of Us,1-year lookback,no,Female,437.0000000000004,2044.0000000000027,12036.999999999996,0.8291086926573906,US
"[60,65)",14518,0.195688111310098,0.120608899297424,vafi,All of Us,1-year lookback,no,Female,1751.0000000000016,2841.0000000000027,9925.999999999996,0.6837029893924781,US
"[65,70)",13734,0.164118246687054,0.036697247706422,efi,All of Us,1-year lookback,no,Female,503.9999999999997,2253.9999999999995,10976,0.799184505606524,US
"[65,70)",13734,0.211955730304354,0.138415610892675,vafi,All of Us,1-year lookback,no,Female,1900.9999999999986,2910.9999999999977,8922.000000000004,0.649628658802971,US
"[70,75)",10854,0.201492537313433,0.0476322093237516,efi,All of Us,1-year lookback,no,Female,516.9999999999999,2187.000000000002,8149.999999999998,0.7508752533628154,US
"[70,75)",10854,0.239358761746821,0.165100423806891,vafi,All of Us,1-year lookback,no,Female,1791.9999999999948,2597.999999999995,6464.000000000011,0.595540814446288,US
"[75,80)",6307,0.222451244648803,0.0564452195972729,efi,All of Us,1-year lookback,no,Female,356.00000000000017,1403.0000000000005,4548,0.7211035357539242,US
"[75,80)",6307,0.256064690026954,0.189154907245917,vafi,All of Us,1-year lookback,no,Female,1192.9999999999984,1614.9999999999986,3499.000000000003,0.5547804027271291,US
"[80,120]",4551,0.266754559437486,0.0925071412876291,efi,All of Us,1-year lookback,no,Female,421.00000000000006,1213.9999999999989,2916.000000000001,0.6407382992748848,US
"[80,120]",4551,0.256866622720281,0.255328499230938,vafi,All of Us,1-year lookback,no,Female,1161.9999999999986,1168.9999999999989,2220.0000000000027,0.4878048780487811,US
"[40,45)",4682,0.0459205467748825,0.00918410935497651,efi,All of Us,1-year lookback,no,Male,43.000000000000014,214.99999999999986,4424,0.944895343870141,US
"[40,45)",4682,0.0952584365655703,0.0431439555745408,vafi,All of Us,1-year lookback,no,Male,202.00000000000003,446.00000000000017,4034,0.8615976078598889,US
"[45,50)",5494,0.0799053512923189,0.017291590826356,efi,All of Us,1-year lookback,no,Male,94.99999999999986,439.00000000000006,4960,0.9028030578813251,US
"[45,50)",5494,0.127229705132872,0.0675282125955588,vafi,All of Us,1-year lookback,no,Male,371.00000000000006,698.9999999999987,4424.000000000001,0.8052420822715691,US
"[50,55)",7051,0.092469153311587,0.0243937030208481,efi,All of Us,1-year lookback,no,Male,171.99999999999994,652,6227,0.8831371436675649,US
"[50,55)",7051,0.139129201531698,0.0828251311870657,vafi,All of Us,1-year lookback,no,Male,584.0000000000003,981.0000000000026,5485.999999999997,0.7780456672812364,US
"[55,60)",8940,0.111856823266219,0.0270693512304251,efi,All of Us,1-year lookback,no,Male,242.0000000000004,999.9999999999978,7698.000000000002,0.8610738255033559,US
"[55,60)",8940,0.157494407158837,0.0967561521252796,vafi,All of Us,1-year lookback,no,Male,864.9999999999997,1408.0000000000027,6666.999999999997,0.7457494407158833,US
"[60,65)",9404,0.136112292641429,0.0367928541046363,efi,All of Us,1-year lookback,no,Male,345.9999999999998,1279.9999999999982,7778.000000000002,0.8270948532539347,US
"[60,65)",9404,0.181093151850276,0.115482773287963,vafi,All of Us,1-year lookback,no,Male,1086.000000000004,1702.9999999999955,6615.000000000001,0.7034240748617611,US
"[65,70)",9049,0.16819538070505,0.0384572880981324,efi,All of Us,1-year lookback,no,Male,348.00000000000006,1521.9999999999975,7179.000000000003,0.7933473311968177,US
"[65,70)",9049,0.210188971157034,0.128522488672782,vafi,All of Us,1-year lookback,no,Male,1163.000000000004,1902.0000000000007,5983.999999999995,0.661288540170184,US
"[70,75)",8185,0.193524740378742,0.0471594379963348,efi,All of Us,1-year lookback,no,Male,386.00000000000034,1584.0000000000034,6214.999999999996,0.7593158216249232,US
"[70,75)",8185,0.239462431276726,0.141967012828345,vafi,All of Us,1-year lookback,no,Male,1162.0000000000039,1960.0000000000023,5062.9999999999945,0.618570555894929,US
"[75,80)",5228,0.228385615914308,0.0568094873756695,efi,All of Us,1-year lookback,no,Male,297.00000000000017,1194.0000000000023,3736.9999999999977,0.7148048967100226,US
