"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,169306,757,19,168530,0.00447119416913754,0.0001122228391197,0.995416582991743
"[40,45)",1,183841,1794,34,182013,0.00975843255856963,0.000184942423072111,0.990056625018358
"[45,50)",0,187752,1631,26,186095,0.00868699135029188,0.000138480548809067,0.991174528100899
"[45,50)",1,202984,2961,84,199939,0.0145873566389469,0.000413825720253813,0.984998817640799
"[50,55)",0,191734,2889,91,188754,0.0150677501121345,0.000474615874075542,0.98445763401379
"[50,55)",1,203977,4723,150,199104,0.0231545713487305,0.000735377027802154,0.976110051623467
"[55,60)",0,176579,4976,190,171413,0.0281800214068491,0.00107600564053483,0.970743972952616
"[55,60)",1,182586,6495,266,175825,0.0355722782688706,0.00145684773202765,0.962970873999102
"[60,65)",0,166370,8172,390,157808,0.0491194325900102,0.00234417262727655,0.948536394782713
"[60,65)",1,170565,9160,443,160962,0.0537038665611351,0.00259725031512913,0.943698883123736
"[65,70)",0,162410,12833,762,148815,0.0790160704390124,0.00469182932085463,0.916292100240133
"[65,70)",1,166487,13223,834,152430,0.0794236186609165,0.00500940013334374,0.91556698120574
"[70,75)",0,131495,16648,1389,113458,0.126605574356439,0.0105631392828625,0.862831286360698
"[70,75)",1,140385,17802,1526,121057,0.12680841970296,0.0108701072051857,0.862321473091855
"[75,80)",0,104234,20782,2277,81175,0.199378321852754,0.0218450793407142,0.778776598806531
"[75,80)",1,119257,23875,2700,92682,0.200197891947642,0.0226401804506234,0.777161927601734
"[80,120]",0,147957,45435,6910,95612,0.307082463148077,0.0467027582338112,0.646214778618112
"[80,120]",1,228084,73674,10861,143549,0.323012574314726,0.0476184212833868,0.629369004401887
