"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,6031,6,0,6025,0.000994859890565412,0,0.999005140109435
"[40,45)",1,7159,10,1,7148,0.00139684313451599,0.000139684313451599,0.998463472552032
"[45,50)",0,11440,20,2,11418,0.00174825174825175,0.000174825174825175,0.998076923076923
"[45,50)",1,14635,35,0,14600,0.00239152716091561,0,0.997608472839084
"[50,55)",0,12800,62,5,12733,0.00484375,0.000390625,0.994765625
"[50,55)",1,17563,53,1,17509,0.00301770768092012,0.0000569378807720777,0.996925354438308
"[55,60)",0,15449,99,2,15348,0.00640818175933717,0.000129458217360347,0.993462360023302
"[55,60)",1,20464,97,7,20360,0.00474003127443315,0.000342064112587959,0.994917904612979
"[60,65)",0,21827,201,7,21619,0.00920877811884363,0.000320703715581619,0.990470518165575
"[60,65)",1,27399,215,8,27176,0.00784700171539107,0.000291981459177342,0.991861016825432
"[65,70)",0,20991,349,22,20620,0.0166261731218141,0.00104806821971321,0.982325758658473
"[65,70)",1,22599,269,12,22318,0.011903181556706,0.000530996946767556,0.987565821496526
"[70,75)",0,5525,104,6,5415,0.0188235294117647,0.00108597285067873,0.980090497737557
"[70,75)",1,5684,74,5,5605,0.0130190007037298,0.000879662209711471,0.986101337086559
