"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",56050,66,0.00117752007136485
"[40,45)",1,"AFIB",51159,0,0
"[45,50)",0,"AFIB",56112,147,0.00261976047904192
"[45,50)",1,"AFIB",51796,40,0.000772260406208974
"[50,55)",0,"AFIB",56983,295,0.00517698260884825
"[50,55)",1,"AFIB",53701,92,0.00171318969851586
"[55,60)",0,"AFIB",52084,426,0.00817909530758006
"[55,60)",1,"AFIB",48163,169,0.00350891763386832
"[60,65)",0,"AFIB",46881,659,0.014056867387641
"[60,65)",1,"AFIB",43894,313,0.00713081514557798
"[65,70)",0,"AFIB",43151,1089,0.0252369585872865
"[65,70)",1,"AFIB",41309,529,0.0128059260693796
"[70,75)",0,"AFIB",36252,1403,0.0387013130310052
"[70,75)",1,"AFIB",37439,913,0.0243863351051043
"[75,80)",0,"AFIB",29396,1632,0.0555177575180297
"[75,80)",1,"AFIB",31970,1238,0.038723803565843
"[80,120]",0,"AFIB",43290,3563,0.0823053823053823
"[80,120]",1,"AFIB",64298,4541,0.0706242806930231
"[40,45)",0,"Anemia",56050,135,0.0024085637823372
"[40,45)",1,"Anemia",51159,942,0.0184131824312438
"[45,50)",0,"Anemia",56112,181,0.00322569147419447
"[45,50)",1,"Anemia",51796,1059,0.0204455942543826
"[50,55)",0,"Anemia",56983,270,0.00473825526911535
"[50,55)",1,"Anemia",53701,847,0.0157725182026405
"[55,60)",0,"Anemia",52084,331,0.00635511865448122
"[55,60)",1,"Anemia",48163,489,0.0101530220293586
"[60,65)",0,"Anemia",46881,453,0.00966276316631471
"[60,65)",1,"Anemia",43894,481,0.0109582175240352
"[65,70)",0,"Anemia",43151,593,0.0137424393409191
"[65,70)",1,"Anemia",41309,658,0.0159287322375269
"[70,75)",0,"Anemia",36252,801,0.0220953326713009
"[70,75)",1,"Anemia",37439,824,0.0220091348593712
"[75,80)",0,"Anemia",29396,1001,0.0340522520070758
"[75,80)",1,"Anemia",31970,992,0.0310290897716609
"[80,120]",0,"Anemia",43290,2429,0.0561099561099561
"[80,120]",1,"Anemia",64298,2960,0.0460356465208871
"[40,45)",0,"Anxiety",56050,793,0.0141480820695807
"[40,45)",1,"Anxiety",51159,1218,0.0238081276021814
"[45,50)",0,"Anxiety",56112,725,0.0129205873966353
"[45,50)",1,"Anxiety",51796,1186,0.0228975210440961
"[50,55)",0,"Anxiety",56983,631,0.0110734780548585
"[50,55)",1,"Anxiety",53701,989,0.0184167892590455
"[55,60)",0,"Anxiety",52084,540,0.0103678672912987
"[55,60)",1,"Anxiety",48163,877,0.0182089986088906
"[60,65)",0,"Anxiety",46881,374,0.00797764552803908
"[60,65)",1,"Anxiety",43894,696,0.0158563812821798
"[65,70)",0,"Anxiety",43151,325,0.00753169103844639
"[65,70)",1,"Anxiety",41309,617,0.0149362124476506
"[70,75)",0,"Anxiety",36252,282,0.00777888116517709
"[70,75)",1,"Anxiety",37439,580,0.0154918667699458
"[75,80)",0,"Anxiety",29396,219,0.00744999319635325
"[75,80)",1,"Anxiety",31970,464,0.0145136065060995
"[80,120]",0,"Anxiety",43290,301,0.00695310695310695
"[80,120]",1,"Anxiety",64298,973,0.0151326635354132
"[40,45)",0,"Arthritis",56050,903,0.0161106155218555
"[40,45)",1,"Arthritis",51159,557,0.0108876248558416
"[45,50)",0,"Arthritis",56112,1260,0.0224550898203593
"[45,50)",1,"Arthritis",51796,987,0.0190555255232064
"[50,55)",0,"Arthritis",56983,1793,0.0314655248056438
"[50,55)",1,"Arthritis",53701,1854,0.0345244967505261
"[55,60)",0,"Arthritis",52084,2264,0.0434682436064818
"[55,60)",1,"Arthritis",48163,2426,0.0503706164483109
"[60,65)",0,"Arthritis",46881,2680,0.0571660160832747
"[60,65)",1,"Arthritis",43894,2908,0.0662505125985328
"[65,70)",0,"Arthritis",43151,3014,0.0698477439688536
"[65,70)",1,"Arthritis",41309,3376,0.0817255319663996
"[70,75)",0,"Arthritis",36252,3026,0.0834712567582478
"[70,75)",1,"Arthritis",37439,3821,0.102059349875798
"[75,80)",0,"Arthritis",29396,2858,0.0972241121240985
"[75,80)",1,"Arthritis",31970,3740,0.11698467313106
"[80,120]",0,"Arthritis",43290,4388,0.101362901362901
"[80,120]",1,"Arthritis",64298,7463,0.116068929049115
"[40,45)",0,"CAD",56050,111,0.00198037466547725
"[40,45)",1,"CAD",51159,45,0.000879610625696358
"[45,50)",0,"CAD",56112,304,0.00541773595665811
"[45,50)",1,"CAD",51796,77,0.00148660128195227
"[50,55)",0,"CAD",56983,510,0.00895003773055122
"[50,55)",1,"CAD",53701,143,0.00266289268356269
"[55,60)",0,"CAD",52084,703,0.0134974272329314
"[55,60)",1,"CAD",48163,203,0.00421485372588917
"[60,65)",0,"CAD",46881,864,0.0184296410059512
"[60,65)",1,"CAD",43894,320,0.00729029024468037
"[65,70)",0,"CAD",43151,1018,0.0235915737758105
"[65,70)",1,"CAD",41309,387,0.00936841850444213
"[70,75)",0,"CAD",36252,1056,0.0291294273419398
"[70,75)",1,"CAD",37439,537,0.0143433318197601
"[75,80)",0,"CAD",29396,1047,0.0356170907606477
"[75,80)",1,"CAD",31970,624,0.0195182984047545
"[80,120]",0,"CAD",43290,2010,0.0464310464310464
"[80,120]",1,"CAD",64298,1910,0.0297054340725995
"[40,45)",0,"CVA",56050,40,0.000713648528099911
"[40,45)",1,"CVA",51159,38,0.000742782306143592
"[45,50)",0,"CVA",56112,111,0.00197818648417451
"[45,50)",1,"CVA",51796,89,0.00171827940381497
"[50,55)",0,"CVA",56983,205,0.0035975641858098
"[50,55)",1,"CVA",53701,160,0.00297946034524497
"[55,60)",0,"CVA",52084,274,0.00526073266262192
"[55,60)",1,"CVA",48163,177,0.00367502024375558
"[60,65)",0,"CVA",46881,342,0.00729506623152236
"[60,65)",1,"CVA",43894,248,0.00564997493962728
"[65,70)",0,"CVA",43151,493,0.0114249959444741
"[65,70)",1,"CVA",41309,337,0.00815802851678811
"[70,75)",0,"CVA",36252,598,0.0164956416197727
